Sampling_week,Treatment,Mesocosm,BLOCK,AZO_0.5,PCZ_0.5,CYP_0.5,Vert_proportion_removed,Horis_proportion_removed,Total_proportion_removed,Total_average_number_removed,Horisontal_Lamina_ave_removed,Average_vertical_ave_removed,Horisontal_Lamina_ave_remaining,Average_vertical_ave_remaining,Ver_lamina_depth_1_ave_remaining,Ver_lamina_depth_2,Ver_lamina_depth_3,Ver_lamina_depth_4
W4,Cont.,Meso_29,4,0,0,0,0.625,0.25,0.4375,7,10,4,6,12,2.5,3,3.5,3
W4,Cont.,Meso_31,1,0,0,0,0.71875,0.28125,0.5,8,11.5,4.5,4.5,11.5,2,4,3,2.5
W4,Cont.,Meso_40,5,0,0,0,0.34375,0.375,0.359375,5.75,5.5,6,10.5,10,2,3,3,2
W4,Cont.,Meso_42,2,0,0,0,0,0.53125,0.265625,4.25,0,8.5,16,7.5,0.5,3,3.5,0.5
W4,Cont.,Meso_53,3,0,0,0,0.21875,0.5625,0.390625,6.25,3.5,9,12.5,7,1.5,3,0,2.5
W4,Az.,Meso_17,2,1,0,0,0,0.875,0.4375,7,0,14,16,2,0,0.5,0.5,1
W4,Az.,Meso_26,1,1,0,0,0.5625,0.5,0.53125,8.5,9,8,7,8,1,2.5,2.5,2
W4,Az.,Meso_39,4,1,0,0,0.4375,0.21875,0.328125,5.25,7,3.5,9,12.5,1.5,3.5,4,3.5
W4,Az.,Meso_45,5,1,0,0,0.28125,0.0625,0.171875,2.75,4.5,1,11.5,15,3.5,3.5,4,4
W4,Az.,Meso_48,3,1,0,0,0.84375,0.1875,0.515625,8.25,13.5,3,2.5,13,3,3,3.5,3.5
W4,Pr.,Meso_14,4,0,1,0,0.625,0.34375,0.484375,7.75,10,5.5,6,10.5,1.5,2,3,4
W4,Pr.,Meso_27,2,0,1,0,0.59375,0.3125,0.453125,7.25,9.5,5,6.5,11,1.5,3.5,3,3
W4,Pr.,Meso_33,3,0,1,0,0.40625,0.21875,0.3125,5,6.5,3.5,9.5,12.5,4,3,3.5,2
W4,Pr.,Meso_41,1,0,1,0,0.5625,0.125,0.34375,5.5,9,2,7,14,4,3.5,3,3.5
W4,Pr.,Meso_55,5,0,1,0,0.5,0.46875,0.484375,7.75,8,7.5,8,8.5,2.5,3.5,2,0.5
W4,Cy.,Meso_13,3,0,0,1,0,0.40625,0.203125,3.25,0,6.5,16,9.5,2,3,2.5,2
W4,Cy.,Meso_22,2,0,0,1,0.53125,0.34375,0.4375,7,8.5,5.5,7.5,10.5,2.5,3,2,3
W4,Cy.,Meso_25,5,0,0,1,0.15625,0.0625,0.109375,1.75,2.5,1,13.5,15,3.5,3.5,4,4
W4,Cy.,Meso_34,4,0,0,1,0.40625,0.15625,0.28125,4.5,6.5,2.5,9.5,13.5,3.5,3.5,3.5,3
W4,Cy.,Meso_51,1,0,0,1,0,0.34375,0.171875,2.75,0,5.5,16,10.5,2.5,2.5,3,2.5
W4,Pr.X.Az,Meso_11,1,1,1,0,0.71875,0.28125,0.5,8,11.5,4.5,4.5,11.5,2,2,4,3.5
W4,Pr.X.Az,Meso_52,2,1,1,0,0.03125,0.125,0.078125,1.25,0.5,2,15.5,14,3.5,3.5,3.5,3.5
W4,Pr.X.Az,Meso_54,4,1,1,0,0.46875,0.5625,0.515625,8.25,7.5,9,8.5,7,0.5,1,4,1.5
W4,Pr.X.Az,Meso_58,3,1,1,0,0.875,0.09375,0.484375,7.75,14,1.5,2,14.5,3.5,3.5,4,3.5
W4,Pr.X.Az,Meso_60,5,1,1,0,0.6875,0.09375,0.390625,6.25,11,1.5,5,14.5,4,4,3.5,3
W4,Cy.X.Az,Meso_21,1,1,0,1,0.78125,0.375,0.578125,9.25,12.5,6,3.5,10,2.5,3,2,2.5
W4,Cy.X.Az,Meso_35,5,1,0,1,0.6875,0,0.34375,5.5,11,0,5,16,4,4,4,4
W4,Cy.X.Az,Meso_38,3,1,0,1,0.34375,0.375,0.359375,5.75,5.5,6,10.5,10,2.5,3.5,2,2
W4,Cy.X.Az,Meso_47,2,1,0,1,0.0625,0,0.03125,0.5,1,0,15,16,4,4,4,4
W4,Cy.X.Az,Meso_59,4,1,0,1,0.21875,0.09375,0.15625,2.5,3.5,1.5,12.5,14.5,4,4,3.5,3
W4,Cy.X.Pr,Meso_15,5,0,1,1,0.21875,0.375,0.296875,4.75,3.5,6,12.5,10,4,1.5,2,2.5
W4,Cy.X.Pr,Meso_43,3,0,1,1,0.875,0.5,0.6875,11,14,8,2,8,2,1.5,2,2.5
W4,Cy.X.Pr,Meso_44,4,0,1,1,0.34375,0.3125,0.328125,5.25,5.5,5,10.5,11,3,3,2.5,2.5
W4,Cy.X.Pr,Meso_46,1,0,1,1,0.03125,0.375,0.203125,3.25,0.5,6,15.5,10,2.5,3.5,2.5,1.5
W4,Cy.X.Pr,Meso_57,2,0,1,1,0.03125,0.28125,0.15625,2.5,0.5,4.5,15.5,11.5,2,3,3.5,3
