Sampling_week,Treatment,Mesocosm,BLOCK,AZO_0.5,PCZ_0.5,CYP_0.5,adult_caliginosa,Coccons,Total_wet_mass_earthworms_g
W8,Az.,Meso_17,2,1,0,0,2,5,2.2
W8,Az.,Meso_26,1,1,0,0,6,1,4.6
W8,Az.,Meso_39,4,1,0,0,4,23,4.8
W8,Az.,Meso_45,5,1,0,0,2,6,2.2
W8,Az.,Meso_48,3,1,0,0,2,9,1
W8,Cont.,Meso_29,4,0,0,0,5,1,2
W8,Cont.,Meso_31,1,0,0,0,5,21,4.2
W8,Cont.,Meso_40,5,0,0,0,5,3,2.3
W8,Cont.,Meso_42,2,0,0,0,3,5,1.7
W8,Cont.,Meso_53,3,0,0,0,2,7,0.9
W8,Cy.,Meso_13,3,0,0,1,3,0,1.2
W8,Cy.,Meso_22,2,0,0,1,2,2,0.7
W8,Cy.,Meso_25,5,0,0,1,2,8,1.2
W8,Cy.,Meso_34,4,0,0,1,2,14,2
W8,Cy.,Meso_51,1,0,0,1,1,0,0.6
W8,Cy.X.Az,Meso_21,1,1,0,1,4,6,3.3
W8,Cy.X.Az,Meso_35,5,1,0,1,0,2,0.1
W8,Cy.X.Az,Meso_38,3,1,0,1,4,15,1.5
W8,Cy.X.Az,Meso_47,2,1,0,1,1,11,1
W8,Cy.X.Az,Meso_59,4,1,0,1,4,10,3.9
W8,Cy.X.Pr,Meso_15,5,0,1,1,7,4,2.8
W8,Cy.X.Pr,Meso_43,3,0,1,1,2,10,1.7
W8,Cy.X.Pr,Meso_44,4,0,1,1,4,10,2.7
W8,Cy.X.Pr,Meso_46,1,0,1,1,1,0,1.7
W8,Cy.X.Pr,Meso_57,2,0,1,1,3,0,4.2
W8,Pr.,Meso_14,4,0,1,0,2,2,1.3
W8,Pr.,Meso_27,2,0,1,0,4,3,2.7
W8,Pr.,Meso_33,3,0,1,0,4,35,3.7
W8,Pr.,Meso_41,1,0,1,0,2,1,1.7
W8,Pr.,Meso_55,5,0,1,0,6,12,4.3
W8,Pr.X.Az,Meso_11,1,1,1,0,5,6,3.9
W8,Pr.X.Az,Meso_52,2,1,1,0,3,0,2.4
W8,Pr.X.Az,Meso_54,4,1,1,0,7,12,4.1
W8,Pr.X.Az,Meso_58,3,1,1,0,3,7,1.3
W8,Pr.X.Az,Meso_60,5,1,1,0,6,30,4.9
