node,minimum.res.method,minimum.con.method
Acyrthosiphon_pisum,family,family
Acyrthosiphon_pisum_juv,family,family
Aleochara_3mm,family,family
Aleochara_4mm,family,family
Aleochara_5mm,family,family
Aleochara_6mm,family,family
Aleochara_lv_2mm,family,family
Aleochara_lv_3mm,family,family
Aleochara_lv_4mm,family,family
Aphis_fabae,family,family
Aphis_fabae_juv,family,family
Braconidae,family,family
Calliphoridae_lv_2mm,family,family
Cecidomyiidae,family,family
Coccinella_septempunctata,family,family
Coccinella_septempunctata_lv_4mm,family,family
Coccinella_septempunctata_lv_9mm,family,family
Collembola,family,class
Dicyrtomina,family,class
Enchytraeidae,family,family
Fanniidae_lv,family,family
Geophilus_flavus_10mm,family,family
Isotomurus,family,class
Laelapidae,family,class
Lasius_niger,family,family
Lithobius_3mm,family,family
Lithobius_5mm,family,family
Lithobius_7mm,family,family
Monobella,family,class
Neanura,family,class
Oribatidae_0.15mm,family,class
Oribatidae_0.5mm,family,class
Oxytelus,family,family
Porcellio_scaber_2mm,family,order
Porcellio_scaber_4mm,family,order
Pseudoscorpiones,family,family
Sargus_lv_2.5mm,family,family
Sargus_lv_4mm,family,family
Sargus_lv_5.5mm,family,family
Sciaridae_3mm,family,family
Sciaridae_5mm,family,family
Sciaridae_lv,family,family
Sitona_lineatus,family,family
Sphaeroceridae,family,family
Thripidae,family,family
Trombidiformes,family,class
Tyrophagus_putrescentiae,family,order
Vicia_faba,exact,family
Xantholinus_lv_5mm,family,family
Xantholinus_lv_9mm,family,family
